city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
Harbor City,http://www.zillow.com/homedetails/1414-260th-St-UNIT-9-Harbor-City-CA-90710/21291147_zpid/,"$282,791",,90710,2 beds,,CA,1414 260th St UNIT 9,2 baths,"1,096 sqft",
Savage,http://www.zillow.com/homedetails/4272-W-124th-St-Savage-MN-55378/2180881_zpid/,"$118,633",,55378,3 beds,,MN,4272 W 124th St,2 baths,"1,204 sqft",
Bloomington,http://www.zillow.com/homedetails/5303-Highpointe-Dr-Bloomington-MN-55437/1951818_zpid/,"$160,525",,55437,2 beds,,MN,5303 Highpointe Dr,2.5 baths,"1,400 sqft",
Cloquet,http://www.zillow.com/homedetails/404-Ridgewood-Dr-Cloquet-MN-55720/2144289625_zpid/,"$249,702","$285,000",55720,4 beds,,MN,404 Ridgewood Dr,2.5 baths,"2,250 sqft",
Lido Beach,http://www.zillow.com/homedetails/42-Regent-Dr-Lido-Beach-NY-11561/2114117686_zpid/,"$729,544","$850,000",11561,4 beds,,NY,42 Regent Dr,2.5 baths,"3,389 sqft",
Staten Island,http://www.zillow.com/homedetails/360-Clove-Rd-Staten-Island-NY-10310/32276853_zpid/,"$363,503",,10310,4 beds,,NY,360 Clove Rd,1 bath,"2,264 sqft",
Bloomington,http://www.zillow.com/homedetails/2308-W-95th-St-Bloomington-MN-55431/1845800_zpid/,"$327,578","$385,000",55431,4 beds,,MN,2308 W 95th St,3 baths,"2,400 sqft",
Rochester,http://www.zillow.com/homedetails/410-16th-St-SW-Rochester-MN-55902/91447688_zpid/,"$351,827","$399,000",55902,6 beds,,MN,410 16th St SW,4 baths,"4,032 sqft",
Eagan,http://www.zillow.com/homedetails/4610-Kingsbury-Dr-Eagan-MN-55122/1617472_zpid/,"$298,599",,55122,3 beds,,MN,4610 Kingsbury Dr,2.5 baths,"2,336 sqft",
Farmington,http://www.zillow.com/homedetails/5400-Oriole-Dr-Farmington-MN-55024/61189901_zpid/,"$142,136",,55024,2 beds,,MN,5400 Oriole Dr,2 baths,"1,610 sqft",
Minneapolis,http://www.zillow.com/homedetails/4537-31st-Ave-S-Minneapolis-MN-55406/1748759_zpid/,"$346,612","$450,000",55406,4 beds,,MN,4537 31st Ave S,2 baths,"2,350 sqft",
Minneapolis,http://www.zillow.com/homedetails/3919-Fremont-Ave-N-Minneapolis-MN-55412/1720474_zpid/,"$94,323",,55412,2 beds,,MN,3919 Fremont Ave N,1 bath,"1,003 sqft",
Saint Paul,http://www.zillow.com/homedetails/237-White-Bear-Ave-N-Saint-Paul-MN-55106/2039675_zpid/,"$192,488",,55106,4 beds,,MN,237 White Bear Ave N,2 baths,"2,040 sqft",
Savage,http://www.zillow.com/homedetails/4748-Natchez-Ct-Savage-MN-55378/2181507_zpid/,"$236,924",,55378,4 beds,,MN,4748 Natchez Ct,2 baths,"2,001 sqft",
Saint Paul,http://www.zillow.com/homedetails/1810-Nevada-Ave-E-Saint-Paul-MN-55119/2113214_zpid/,"$146,392",,55119,3 beds,,MN,1810 Nevada Ave E,2 baths,"1,564 sqft",
Prospect Heights,http://www.zillow.com/homedetails/860-E-Old-Willow-Rd-APT-122-Prospect-Heights-IL-60070/3308819_zpid/,"$60,512",,60070,2 beds,,IL,860 E Old Willow Rd APT 122,1 bath,900 sqft,
Crystal,http://www.zillow.com/homedetails/4548-Maryland-Ave-N-Crystal-MN-55428/1769704_zpid/,"$188,300",,55428,4 beds,,MN,4548 Maryland Ave N,2 baths,"2,124 sqft",
Hastings,http://www.zillow.com/homedetails/8299-Quadrant-Ave-S-Hastings-MN-55033/2234506_zpid/,"$500,583","$650,000",55033,4 beds,,MN,8299 Quadrant Ave S,3 baths,"3,584 sqft",
Rosemount,http://www.zillow.com/homedetails/14004-Delta-Ave-Rosemount-MN-55068/1677091_zpid/,"$329,344","$359,900",55068,4 beds,,MN,14004 Delta Ave,4 baths,"2,500 sqft",
Hanover Park,http://www.zillow.com/homedetails/1764-Mccormick-Ln-Hanover-Park-IL-60133/4350040_zpid/,"$113,591",,60133,2 beds,,IL,1764 Mccormick Ln,1.5 baths,896 sqft,
Chicago,http://www.zillow.com/homedetails/655-W-Irving-Park-Rd-APT-3514-Chicago-IL-60613/65560735_zpid/,"$121,801",,60613,1 bed,,IL,655 W Irving Park Rd APT 3514,1 bath,849 sqft,
Huntley,http://www.zillow.com/homedetails/10481-Somerset-Ln-Huntley-IL-60142/51317580_zpid/,"$196,069",,60142,3 beds,,IL,10481 Somerset Ln,3 baths,"1,748 sqft",
Roselle,http://www.zillow.com/homedetails/675-Middleton-Dr-Roselle-IL-60172/4368199_zpid/,"$203,336",,60172,3 beds,,IL,675 Middleton Dr,2 baths,"1,600 sqft",
Zion,http://www.zillow.com/homedetails/3108-Edina-Blvd-Zion-IL-60099/4754687_zpid/,"$80,945",,60099,2 beds,,IL,3108 Edina Blvd,1 bath,"1,350 sqft",
Chicago,http://www.zillow.com/homedetails/2040-W-Le-Moyne-St-APT-A-Chicago-IL-60622/63698171_zpid/,"$597,539","$660,000",60622,3 beds,,IL,2040 W Le Moyne St APT A,2.5 baths,"2,250 sqft",
Wilmette,http://www.zillow.com/homedetails/939-Ashland-Ave-Wilmette-IL-60091/3365102_zpid/,"$1,475,363",,60091,6 beds,,IL,939 Ashland Ave,5 baths,"4,295 sqft",
Chicago,http://www.zillow.com/homedetails/6613-N-Whipple-St-Chicago-IL-60645/3561945_zpid/,"$486,638","$445,000",60645,6 beds,,IL,6613 N Whipple St,3 baths,"1,831 sqft",
Zion,http://www.zillow.com/homedetails/2306-Elisha-Ave-Zion-IL-60099/4753608_zpid/,"$84,053",,60099,3 beds,,IL,2306 Elisha Ave,1.5 baths,"1,450 sqft",
Lake Forest,http://www.zillow.com/homedetails/449-Spruce-Ave-Lake-Forest-IL-60045/4855923_zpid/,"$554,959","$565,000",60045,4 beds,,IL,449 Spruce Ave,1 bath,"1,370 sqft",
Round Lake,http://www.zillow.com/homedetails/343-Switchgrass-Dr-Round-Lake-IL-60073/51679718_zpid/,"$168,105",,60073,3 beds,,IL,343 Switchgrass Dr,2.5 baths,"1,744 sqft",
Hoffman Estates,http://www.zillow.com/homedetails/1961-Blackberry-Ln-Hoffman-Estates-IL-60169/2122268844_zpid/,"$179,576","$220,000",60169,2 beds,,IL,1961 Blackberry Ln,2.5 baths,-- sqft,
Volo,http://www.zillow.com/homedetails/1447-Baroque-Ave-Volo-IL-60073/114462303_zpid/,"$201,885",,60073,4 beds,,IL,1447 Baroque Ave,3.5 baths,"1,800 sqft",
Hanover Park,http://www.zillow.com/homedetails/4442-Castlebar-Ln-Hanover-Park-IL-60133/4348999_zpid/,"$196,532","$185,000",60133,3 beds,,IL,4442 Castlebar Ln,2 baths,"1,459 sqft",
Riverside,http://www.zillow.com/homedetails/270-Northwood-Rd-Riverside-IL-60546/3777742_zpid/,"$470,457","$499,000",60546,4 beds,,IL,270 Northwood Rd,2.5 baths,"1,496 sqft",
Lake Villa,http://www.zillow.com/homedetails/25320-W-Carson-Dr-Lake-Villa-IL-60046/4758808_zpid/,"$140,969",,60046,3 beds,,IL,25320 W Carson Dr,1 bath,"1,800 sqft",
Chicago,http://www.zillow.com/homedetails/3232-N-Halsted-St-APT-H201-Chicago-IL-60657/2131922402_zpid/,"$454,265","$409,000",60657,2 beds,,IL,3232 N Halsted St APT H201,2 baths,"1,419 sqft",
Arlington Heights,http://www.zillow.com/homedetails/645-S-Mckinley-Ave-Arlington-Heights-IL-60005/2112094533_zpid/,"$1,541,566","$689,000",60005,10 beds,,IL,645 S Mckinley Ave,8 baths,"7,200 sqft",
Maple Park,http://www.zillow.com/homedetails/203-Summer-St-Maple-Park-IL-60151/4647868_zpid/,"$155,147","$353,900",60151,4 beds,,IL,203 Summer St,2 baths,"1,600 sqft",(630) 362-3733 
Chicago,http://www.zillow.com/homedetails/8709-S-Exchange-Ave-APT-1-Chicago-IL-60617/2112622702_zpid/,"$192,168","$105,000",60617,8 beds,,IL,8709 S Exchange Ave APT 1,4 baths,"1,846 sqft",
Chicago,http://www.zillow.com/homedetails/5224-N-Winthrop-Ave-3C-Chicago-IL-60640/87703714_zpid/,"$190,874","$300,000",60640,2 beds,,IL,5224 N Winthrop Ave # 3C,1 bath,901 sqft,
Chicago,http://www.zillow.com/homedetails/808-S-May-St-808-Chicago-IL-60607/3874370_zpid/,"$374,633","$384,900",60607,3 beds,,IL,808 S May St # 808,1 bath,"1,400 sqft",
Evanston,http://www.zillow.com/homedetails/551-Elmwood-Ave-APT-3-Evanston-IL-60202/65398351_zpid/,"$147,863","$195,000",60202,1 bed,,IL,551 Elmwood Ave APT 3,1 bath,800 sqft,
Spokane,http://www.zillow.com/homedetails/923-W-19th-Ave-Spokane-WA-99203/23533591_zpid/,"$252,022","$375,000",99203,4 beds,,WA,923 W 19th Ave,2 baths,"2,570 sqft",
Tahuya,http://www.zillow.com/homedetails/15781-NE-North-Shore-Rd-Tahuya-WA-98588/2132256480_zpid/,,"$1,975,000",98588,13 beds,,WA,15781 NE North Shore Rd,9 baths,"8,000 sqft",(206) 409-6280 
Seattle,http://www.zillow.com/homedetails/4132-SW-Holden-St-Seattle-WA-98136/49120519_zpid/,"$529,781","$590,000",98136,4 beds,,WA,4132 SW Holden St,1 bath,"2,000 sqft",
Clarkston,http://www.zillow.com/homedetails/920-Riverview-Blvd-Clarkston-WA-99403/108170396_zpid/,"$213,428","$193,900",99403,3 beds,,WA,920 Riverview Blvd,2 baths,"2,242 sqft",(208) 553-0353 
Seattle,http://www.zillow.com/homedetails/11711-9th-Ave-NW-Seattle-WA-98177/49047560_zpid/,"$687,830","$1,450,000",98177,4 beds,,WA,11711 9th Ave NW,2 baths,"2,823 sqft",
Oak Harbor,http://www.zillow.com/homedetails/1765-SE-9th-Ave-Oak-Harbor-WA-98277/60903299_zpid/,"$1,065,731","$1,500,000",98277,Studio,,WA,1765 SE 9th Ave,-- baths,"9,336 sqft",
Mercer Island,http://www.zillow.com/homedetails/7161-86th-Ave-SE-Mercer-Island-WA-98040/48962584_zpid/,"$974,699","$1,300,000",98040,4 beds,,WA,7161 86th Ave SE,2.5 baths,"2,390 sqft",
Kirkland,http://www.zillow.com/homedetails/12607-100th-Lane-Ne-L-254-Kirkland-WA-98034/2102180638_zpid/,"$242,410","$279,000",98034,2 beds,,WA,12607 100th Lane Ne #L-254,2 baths,998 sqft,
Bothell,http://www.zillow.com/homedetails/22004-3rd-Ave-SE-Bothell-WA-98021/2120856317_zpid/,,"$275,000",98021,,,WA,22004 3rd Ave SE,,,(206) 794-3433 
Seattle,http://www.zillow.com/homedetails/9516-Palatine-Ave-N-Seattle-WA-98103/48885766_zpid/,"$549,616","$650,000",98103,4 beds,,WA,9516 Palatine Ave N,3 baths,"2,340 sqft",
Seattle,http://www.zillow.com/homedetails/4241-Palatine-Ave-N-Seattle-WA-98103/48998324_zpid/,"$427,923","$460,000",98103,2 beds,,WA,4241 Palatine Ave N,1 bath,800 sqft,
Coupeville,http://www.zillow.com/homedetails/206-NE-7th-St-Coupeville-WA-98239/60895566_zpid/,"$216,108","$170,000",98239,2 beds,,WA,206 NE 7th St,1 bath,792 sqft,
Bellingham,http://www.zillow.com/homedetails/2185-Squalicum-Mountain-Rd-Bellingham-WA-98226/23621556_zpid/,"$411,604","$500,000",98226,2 beds,,WA,2185 Squalicum Mountain Rd,2 baths,"2,201 sqft",
Seattle,http://www.zillow.com/homedetails/8204-15th-Ave-NE-Seattle-WA-98115/48833338_zpid/,"$746,804","$900,000",98115,3 beds,,WA,8204 15th Ave NE,2 baths,"3,050 sqft",
Cle Elum,http://www.zillow.com/homedetails/161-Beaver-Ln-Cle-Elum-WA-98922/61119158_zpid/,"$343,793","$399,000",98922,2 beds,,WA,161 Beaver Ln,1.75 baths,"2,090 sqft",
Selah,http://www.zillow.com/homedetails/401-Adobe-Way-Selah-WA-98942/23695226_zpid/,"$206,862","$235,000",98942,2 beds,,WA,401 Adobe Way,2 baths,"1,700 sqft",(509) 945-1362 
Seattle,http://www.zillow.com/homedetails/2717-Western-Ave-APT-104-Seattle-WA-98121/65225678_zpid/,"$419,215","$495,000",98121,1 bed,,WA,2717 Western Ave APT 104,1 bath,804 sqft,
Des Moines,http://www.zillow.com/homedetails/27030-14th-Ave-S-Des-Moines-WA-98198/49141587_zpid/,"$241,472","$295,000",98198,3 beds,,WA,27030 14th Ave S,2 baths,"1,060 sqft",
Blaine,http://www.zillow.com/homedetails/4330-Arnie-Rd-Blaine-WA-98230/67688862_zpid/,"$310,262","$375,000",98230,4 beds,,WA,4330 Arnie Rd,2 baths,"2,500 sqft",
Bellevue,http://www.zillow.com/homedetails/1820-154th-Ave-SE-Bellevue-WA-98007/49069121_zpid/,"$486,383","$589,000",98007,3 beds,,WA,1820 154th Ave SE,1.5 baths,"1,250 sqft",
Buckley,http://www.zillow.com/homedetails/24912-112th-St-E-Buckley-WA-98321/82572506_zpid/,"$737,400","$1,250,000",98321,6 beds,,WA,24912 112th St E,4.5 baths,"4,200 sqft",
Moxee,http://www.zillow.com/homedetails/11785-Postma-Rd-Moxee-WA-98936/117715335_zpid/,"$195,476",,98936,4 beds,,WA,11785 Postma Rd,2 baths,"1,632 sqft",
Seattle,http://www.zillow.com/homedetails/2152-N-112th-St-UNIT-112-Seattle-WA-98133/49108881_zpid/,"$177,881",,98133,2 beds,,WA,2152 N 112th St UNIT 112,1 bath,837 sqft,
Kennewick,http://www.zillow.com/homedetails/706-W-45th-Ave-Kennewick-WA-99337/2101615329_zpid/,"$315,108","$425,000",99337,5 beds,,WA,706 W 45th Ave,2.5 baths,"2,801 sqft",(509) 438-6571 
Camano Island,http://www.zillow.com/homedetails/10-Edgewater-Dr-Camano-Island-WA-98282/60896263_zpid/,"$519,704","$489,999",98282,2 beds,,WA,10 Edgewater Dr,2 baths,"1,376 sqft",(360) 840-9853 
Renton,http://www.zillow.com/homedetails/1300-Eagle-Ridge-Drive-S-Renton-WA-98055/2101629412_zpid/,,"$95,000",98055,1 bed,,WA,1300 Eagle Ridge Drive S,1.5 baths,600 sqft,(707) 666-0496 
Seattle,http://www.zillow.com/homedetails/2625-28th-Ave-W-Seattle-WA-98199/48943387_zpid/,"$1,019,369","$999,000",98199,4 beds,,WA,2625 28th Ave W,2.25 baths,"2,710 sqft",
Federal Way,http://www.zillow.com/homedetails/721-SW-365th-St-Federal-Way-WA-98023/48841205_zpid/,"$487,207","$500,000",98023,5 beds,,WA,721 SW 365th St,2.75 baths,"3,360 sqft",
Des Moines,http://www.zillow.com/homedetails/20130-4th-Ave-S-Des-Moines-WA-98198/49066823_zpid/,"$195,475",,98198,3 beds,,WA,20130 4th Ave S,1 bath,960 sqft,
Puyallup,http://www.zillow.com/homedetails/11434-184th-Street-Ct-E-Puyallup-WA-98374/68543822_zpid/,"$224,515",,98374,4 beds,,WA,11434 184th Street Ct E,2.5 baths,"2,406 sqft",
