city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
Williston Park,http://www.zillow.com/homedetails/77-Lafayette-St-Williston-Park-NY-11596/31104168_zpid/,"$625,396","$599,000",11596,3 beds,,NY,77 Lafayette St,2 baths,"1,760 sqft",(347) 280-0158 
Huntington,http://www.zillow.com/homedetails/10-Warner-Ct-Huntington-NY-11743/59585831_zpid/,"$848,141","$799,000",11743,5 beds,,NY,10 Warner Ct,3 baths,"2,800 sqft",(631) 988-9620 
Kingston,http://www.zillow.com/homedetails/129-Jansen-Ave-Kingston-NY-12401/2124144061_zpid/,,"$163,000",12401,6 beds,,NY,129 Jansen Ave,3 baths,"2,200 sqft",(845) 331-8258 
Cutchogue,http://www.zillow.com/homedetails/4800-Nassau-Point-Rd-Cutchogue-NY-11935/32756579_zpid/,,"$1,300,000",11935,4 beds,,NY,4800 Nassau Point Rd,5 baths,"3,000 sqft",(347) 804-5017 
Mannsville,http://www.zillow.com/homedetails/9619-Renshaw-Bay-Rd-Mannsville-NY-13661/30551993_zpid/,"$132,092","$80,000",13661,4 beds,,NY,9619 Renshaw Bay Rd,1 bath,"1,700 sqft",(315) 387-9936 
Bronx,http://www.zillow.com/homedetails/72C-Edgewater-Park-C-Bronx-NY-10465/2128349333_zpid/,"$186,662","$125,000",10465,2 beds,,NY,72C Edgewater Park # C,1 bath,900 sqft,
Randolph,http://www.zillow.com/homedetails/43-Jamestown-St-Randolph-NY-14772/29881230_zpid/,"$133,617","$134,900",14772,5 beds,,NY,43 Jamestown St,2.5 baths,"3,552 sqft",(713) 775-5018 
Sharon Springs,http://www.zillow.com/homedetails/173-177-Main-St-Sharon-Springs-NY-13459/2104956415_zpid/,"$149,100","$250,000",13459,6 beds,,NY,173-177 Main St,4 baths,"4,500 sqft",(518) 282-4774 
New York,http://www.zillow.com/homedetails/211-Thompson-St-APT-2N-New-York-NY-10012/89134613_zpid/,"$734,313","$595,000",10012,Studio,,NY,211 Thompson St APT 2N,1 bath,450 sqft,
Petersburgh,http://www.zillow.com/homedetails/133-N-Shore-Rd-Petersburgh-NY-12138/32250804_zpid/,"$151,363","$149,900",12138,2 beds,,NY,133 N Shore Rd,1 bath,"1,156 sqft",(518) 852-7746 
East Hampton,http://www.zillow.com/homedetails/12-Norfolk-Dr-East-Hampton-NY-11937/32654016_zpid/,"$531,641","$449,000",11937,2 beds,,NY,12 Norfolk Dr,1 bath,"1,500 sqft",(516) 477-9097 
Clinton,http://www.zillow.com/homedetails/7-Cherrywood-Blvd-Clinton-NY-13323/31597581_zpid/,"$90,285","$119,900",13323,2 beds,,NY,7 Cherrywood Blvd,2 baths,"1,350 sqft",(315) 853-8519 
Saugerties,http://www.zillow.com/homedetails/104-Park-Pl-Saugerties-NY-12477/63860098_zpid/,"$252,462","$198,000",12477,3 beds,,NY,104 Park Pl,2 baths,"1,900 sqft",(845) 247-9450 
Hartsdale,http://www.zillow.com/homedetails/100-High-Point-Dr-APT-406-Hartsdale-NY-10530/2114089126_zpid/,"$273,141","$299,000",10530,1 bed,,NY,100 High Point Dr APT 406,1 bath,"1,000 sqft",(914) 471-7778 
Cloquet,http://www.zillow.com/homedetails/404-Ridgewood-Dr-Cloquet-MN-55720/2144289625_zpid/,"$249,702","$285,000",55720,4 beds,,MN,404 Ridgewood Dr,2.5 baths,"2,250 sqft",
Schenectady,http://www.zillow.com/homedetails/513-Chadwick-Rd-Schenectady-NY-12304/32477153_zpid/,"$148,360","$156,000",12304,4 beds,,NY,513 Chadwick Rd,2 baths,"2,228 sqft",(518) 528-1571 
Kings Beach,http://www.zillow.com/homedetails/8422-Dolly-Varden-Ave-Kings-Beach-CA-96143/17697390_zpid/,"$314,297","$425,000",96143,3 beds,,CA,8422 Dolly Varden Ave,2 baths,"1,184 sqft",(559) 964-7273 
Golden Valley,http://www.zillow.com/homedetails/6466-Westchester-Cir-Golden-Valley-MN-55427/1995492_zpid/,"$743,919","$849,900",55427,5 beds,,MN,6466 Westchester Cir,5 baths,"5,344 sqft",(612) 919-3956 
Huntington,http://www.zillow.com/homedetails/23-Bellaire-Dr-Huntington-NY-11743/59565311_zpid/,"$494,528","$500,000",11743,4 beds,,NY,23 Bellaire Dr,3 baths,"1,980 sqft",(631) 339-0029 
Monticello,http://www.zillow.com/homedetails/1-Alva-Ln-Monticello-NY-12701/32783207_zpid/,"$120,684","$134,000",12701,3 beds,,NY,1 Alva Ln,-- baths,"2,149 sqft",(917) 848-6528 
Jamaica,http://www.zillow.com/homedetails/115-70-Newburgh-Street-Jamaica-NY-11412/2102661002_zpid/,"$576,348","$609,999",11412,6 beds,,NY,115-70 Newburgh Street,3 baths,"1,240 sqft",(718) 441-0200 
Sauk Rapids,http://www.zillow.com/homedetails/5175-NE-River-Rd-Sauk-Rapids-MN-56379/91429160_zpid/,"$407,393","$549,900",56379,5 beds,,MN,5175 NE River Rd,4 baths,"3,600 sqft",(320) 428-4866 
Saint Louis,http://www.zillow.com/homedetails/7235-N-Bristol-Dr-Saint-Louis-MO-63121/2692370_zpid/,"$161,911","$219,500",63121,4 beds,,MO,7235 N Bristol Dr,2 baths,"2,314 sqft",(314) 337-2152 
Woodland Hills,http://www.zillow.com/homedetails/20954-Bandera-St-Woodland-Hills-CA-91364/19944929_zpid/,"$822,895","$929,000",91364,3 beds,,CA,20954 Bandera St,3 baths,"2,355 sqft",(818) 426-2628 
Grandview,http://www.zillow.com/homedetails/7601-E-126th-St-Grandview-MO-64030/2463858_zpid/,"$120,391","$149,500",64030,3 beds,,MO,7601 E 126th St,3 baths,"1,800 sqft",(816) 679-6466 
Minneapolis,http://www.zillow.com/homedetails/2732-Grand-Ave-S-APT-4-Minneapolis-MN-55408/71820183_zpid/,"$108,474","$79,000",55408,Studio,,MN,2732 Grand Ave S APT 4,1 bath,435 sqft,(715) 864-9689 
Staten Island,http://www.zillow.com/homedetails/30-Lillie-Ln-Staten-Island-NY-10314/32313329_zpid/,"$408,360","$439,000",10314,3 beds,,NY,30 Lillie Ln,4 baths,"1,448 sqft",(917) 653-2605 
Montebello,http://www.zillow.com/homedetails/617-S-Taylor-Ave-Montebello-CA-90640/21088210_zpid/,"$439,701","$489,000",90640,3 beds,,CA,617 S Taylor Ave,2 baths,"1,540 sqft",(714) 863-8480 
Saint Louis,http://www.zillow.com/homedetails/11068-Linnell-Dr-Saint-Louis-MO-63136/2624255_zpid/,"$104,972","$85,000",63136,3 beds,,MO,11068 Linnell Dr,2 baths,"1,114 sqft",(314) 495-2429 
Bolivar,http://www.zillow.com/homedetails/1204-S-Martin-St-Bolivar-MO-65613/121533606_zpid/,"$84,139","$84,900",65613,3 beds,,MO,1204 S Martin St,2 baths,"1,526 sqft",(417) 770-1443 
East Hampton,http://www.zillow.com/homedetails/12-Cutter-Ct-East-Hampton-NY-11937/32665569_zpid/,"$1,198,902","$1,550,000",11937,4 beds,,NY,12 Cutter Ct,3.5 baths,"2,130 sqft",(914) 806-4046 
Forsyth,http://www.zillow.com/homedetails/150-Sunken-Forest-Dr-BLDG-10-253-Forsyth-MO-65653/113781222_zpid/,"$83,056","$84,000",65653,2 beds,,MO,150 Sunken Forest Dr BLDG 10-253,2 baths,"1,250 sqft",(760) 884-4652 
Hanford,http://www.zillow.com/homedetails/704-W-Malone-St-Hanford-CA-93230/51072662_zpid/,"$111,693","$145,000",93230,3 beds,,CA,704 W Malone St,1 bath,"1,026 sqft",(559) 381-2154 
Rancho Mirage,http://www.zillow.com/homedetails/51-Mission-Palms-East-Rancho-Mirage-CA-92270/2101015524_zpid/,"$646,125","$697,000",92270,3 beds,,CA,51 Mission Palms East,4 baths,"3,100 sqft",(760) 770-4088 
Staten Island,http://www.zillow.com/homedetails/210-Holden-Blvd-Staten-Island-NY-10314/2146489430_zpid/,,"$585,000",10314,5 beds,,NY,210 Holden Blvd,3 baths,"4,000 sqft",(732) 345-1883 
Stormville,http://www.zillow.com/homedetails/Stormville-Stormville-NY-12582/2102582255_zpid/,"$417,503","$549,000",12582,4 beds,,NY,Stormville,2.5 baths,"3,236 sqft",(845) 245-8181 
Ligonier,http://www.zillow.com/homedetails/112-West-Vincent-Street-Ligonier-PA-15658/2100708179_zpid/,"$153,408","$109,500",15658,2 beds,,PA,112 West Vincent Street,2 baths,"1,200 sqft",(602) 714-1429 
Harrisburg,http://www.zillow.com/homedetails/115-Calder-St-Harrisburg-PA-17102/86466448_zpid/,"$126,688","$59,900",17102,3 beds,,PA,115 Calder St,2 baths,"1,770 sqft",(717) 620-9749 
Afton,http://www.zillow.com/homedetails/15145-50th-St-S-Afton-MN-55001/2277101_zpid/,"$507,651","$609,000",55001,3 beds,,MN,15145 50th St S,4.75 baths,"3,476 sqft",(612) 889-5031 
Windham,http://www.zillow.com/homedetails/5088-State-Route-23-Windham-NY-12496/2102546926_zpid/,"$991,821","$600,000",12496,8 beds,,NY,5088 State Route 23,6 baths,"5,000 sqft",
Long Lake,http://www.zillow.com/homedetails/965-Deerland-Rd-Long-Lake-NY-12847/2111688169_zpid/,"$766,769","$475,000",12847,4 beds,,NY,965 Deerland Rd,4 baths,"4,416 sqft",(518) 624-5825 
Springfield,http://www.zillow.com/homedetails/1443-S-Essex-Rd-Springfield-MO-65809/50237300_zpid/,"$231,150","$318,000",65809,4 beds,,MO,1443 S Essex Rd,3 baths,"2,852 sqft",(340) 998-4235 
Marceline,http://www.zillow.com/homedetails/10242-Hwy-5-Marceline-MO-64658/2100853850_zpid/,,"$175,900",64658,5 beds,,MO,10242 Hwy 5,2.75 baths,"2,680 sqft",(316) 250-5124 
Toledo,http://www.zillow.com/homedetails/1103-Shadow-Ln-Toledo-OH-43615/2114267911_zpid/,"$77,339","$82,000",43615,2 beds,,OH,1103 Shadow Ln,2 baths,"1,360 sqft",(313) 444-9754 
Saint Paul,http://www.zillow.com/homedetails/1898-Kathleen-Dr-Saint-Paul-MN-55118/1692308_zpid/,"$144,872","$179,999",55118,3 beds,,MN,1898 Kathleen Dr,1 bath,918 sqft,
Kansas City,http://www.zillow.com/homedetails/221-W-48th-St-APT-1903-Kansas-City-MO-64112/66855631_zpid/,"$257,998","$259,000",64112,2 beds,,MO,221 W 48th St APT 1903,2 baths,"1,051 sqft",
Mansfield,http://www.zillow.com/homedetails/1177-Lexington-Ave-Mansfield-OH-44907/2100961129_zpid/,"$71,384","$123,500",44907,2 beds,,OH,1177 Lexington Ave,2 baths,"1,000 sqft",(419) 884-9355 
Saint Charles,http://www.zillow.com/homedetails/1941-Elm-St-Saint-Charles-MO-63301/59952788_zpid/,"$380,645","$399,000",63301,4 beds,,MO,1941 Elm St,3 baths,"3,321 sqft",(314) 302-1805 
Syracuse,http://www.zillow.com/homedetails/207-Brookford-Rd-Syracuse-NY-13224/31668291_zpid/,"$212,247","$205,000",13224,3 beds,,NY,207 Brookford Rd,3 baths,"1,900 sqft",(315) 516-4663 
Pittsburgh,http://www.zillow.com/homedetails/171-South-15th-Street-301-Pittsburgh-PA-15203/2100685380_zpid/,"$205,647","$219,900",15203,2 beds,,PA,171 South 15th Street #301,1 bath,"1,660 sqft",(412) 352-5780 
Saratoga Springs,http://www.zillow.com/homedetails/218-220-East-Ave-Saratoga-Springs-NY-12866/32404103_zpid/,"$637,710","$556,000",12866,6 beds,,NY,218-220 East Ave,3 baths,"3,119 sqft",(516) 729-4412 
Freeport,http://www.zillow.com/homedetails/292-Locust-Ave-Freeport-NY-11520/31366123_zpid/,"$412,456","$459,000",11520,4 beds,,NY,292 Locust Ave,1.5 baths,"2,500 sqft",
Wood River,http://www.zillow.com/homedetails/550-N-Brushey-Grove-Ave-Wood-River-IL-62095/65285011_zpid/,"$50,430","$68,000",62095,3 beds,,IL,550 N Brushey Grove Ave,1 bath,864 sqft,(618) 979-0190 
Minneapolis,http://www.zillow.com/homedetails/1920-S-1st-St-APT-402-Minneapolis-MN-55454/1927736_zpid/,"$183,426","$185,000",55454,2 beds,,MN,1920 S 1st St APT 402,2 baths,"1,110 sqft",(612) 440-5604 
Lakehead,http://www.zillow.com/homedetails/21850-Lakeshore-Drive-Lakehead-CA-96051/2101001803_zpid/,"$217,144","$279,000",96051,3 beds,,CA,21850 Lakeshore Drive,2.5 baths,"1,700 sqft",(530) 355-5334 
Chicago,http://www.zillow.com/homedetails/11032-S-Troy-St-Chicago-IL-60655/4079685_zpid/,"$253,295","$309,000",60655,4 beds,,IL,11032 S Troy St,2 baths,"2,500 sqft",(773) 450-6309 
El Cajon,http://www.zillow.com/homedetails/11716-Avenida-Marcella-El-Cajon-CA-92019/17042461_zpid/,"$480,635","$479,900",92019,3 beds,,CA,11716 Avenida Marcella,3 baths,"1,596 sqft",
Florissant,http://www.zillow.com/homedetails/1060-Washington-St-Florissant-MO-63031/2615738_zpid/,"$97,481","$110,000",63031,3 beds,,MO,1060 Washington St,2 baths,"1,978 sqft",(314) 810-9898 
Carrollton,http://www.zillow.com/homedetails/4054-Jade-Rd-NW-Carrollton-OH-44615/33244001_zpid/,"$117,966","$129,900",44615,3 beds,,OH,4054 Jade Rd NW,1.5 baths,"1,292 sqft",(330) 365-0707 
Philadelphia,http://www.zillow.com/homedetails/468-Myrtle-St-Philadelphia-PA-19123/67363840_zpid/,"$859,955","$919,000",19123,3 beds,,PA,468 Myrtle St,3 baths,"3,757 sqft",
Indianapolis,http://www.zillow.com/homedetails/650-Eugene-St-Indianapolis-IN-46208/1098756_zpid/,"$55,564","$69,900",46208,4 beds,,IN,650 Eugene St,2 baths,"1,784 sqft",(317) 507-0220 
Purchase,http://www.zillow.com/homedetails/25-New-St-Purchase-NY-10577/33039186_zpid/,"$1,004,863","$849,000",10577,4 beds,,NY,25 New St,2 baths,"2,338 sqft",(914) 618-4848 
Valley Cottage,http://www.zillow.com/homedetails/2-Kings-Ct-Valley-Cottage-NY-10989/53404141_zpid/,"$575,487","$575,000",10989,5 beds,,NY,2 Kings Ct,3 baths,"4,100 sqft",(845) 480-0582 
Niangua,http://www.zillow.com/homedetails/0-Good-Spring-Rd-Niangua-MO-65713/2117596847_zpid/,,"$9,500",65713,,,MO,0 Good Spring Rd,,,(417) 741-0508 
Saint Louis,http://www.zillow.com/homedetails/(Undisclosed-Address)-Saint-Louis-MO-63116/2100715502_zpid/,"$82,994","$30,000",63116,2 beds,,MO,(Undisclosed Address),1 bath,936 sqft,(618) 790-9005 
Portola,http://www.zillow.com/homedetails/380-E-Magnolia-Ave-Portola-CA-96122/52928076_zpid/,"$160,745","$239,500",96122,3 beds,,CA,380 E Magnolia Ave,2 baths,"1,687 sqft",(916) 759-9996 
Bridgeton,http://www.zillow.com/homedetails/4223-Carrollton-Dr-APT-A-Bridgeton-MO-63044/2658532_zpid/,"$65,393","$88,000",63044,2 beds,,MO,4223 Carrollton Dr APT A,1.5 baths,"1,490 sqft",(217) 577-3679 
Bethlehem,http://www.zillow.com/homedetails/326-6th-Ave-Bethlehem-PA-18018/9615829_zpid/,"$133,251","$135,000",18018,3 beds,,PA,326 6th Ave,1 bath,"1,520 sqft",(724) 272-3380 
Loves Park,http://www.zillow.com/homedetails/4378-Sunset-Ter-Loves-Park-IL-61111/5513777_zpid/,"$115,850","$127,900",61111,2 beds,,IL,4378 Sunset Ter,2 baths,"1,296 sqft",(815) 621-0958 
Wooster,http://www.zillow.com/homedetails/1010-Brooke-Way-Wooster-OH-44691/35722227_zpid/,"$149,970","$172,000",44691,3 beds,,OH,1010 Brooke Way,2 baths,"1,430 sqft",(330) 464-6968 
Saint Paul,http://www.zillow.com/homedetails/132-Demont-Ave-E-APT-325-Saint-Paul-MN-55117/2054972_zpid/,"$71,627","$78,000",55117,2 beds,,MN,132 Demont Ave E APT 325,1.75 baths,990 sqft,(651) 356-2936 
East Chatham,http://www.zillow.com/homedetails/1135-State-Route-295-East-Chatham-NY-12060/2102462981_zpid/,,"$245,000",12060,3 beds,,NY,1135 State Route 295,2 baths,"4,106 sqft",(727) 560-6042 
New Hyde Park,http://www.zillow.com/homedetails/22-Tenafly-Dr-New-Hyde-Park-NY-11040/31110239_zpid/,"$554,368","$649,000",11040,4 beds,,NY,22 Tenafly Dr,2 baths,"1,322 sqft",(516) 858-2184 
Alpaugh,http://www.zillow.com/homedetails/5017-Road-42-Alpaugh-CA-93201/83353081_zpid/,"$191,128","$245,000",93201,3 beds,,CA,5017 Road 42,2 baths,"1,800 sqft",(818) 633-4618 
Wynantskill,http://www.zillow.com/homedetails/11-St-Josephs-Ct-Wynantskill-NY-12198/32256010_zpid/,"$69,214","$139,900",12198,3 beds,,NY,11 St Josephs Ct,1 bath,910 sqft,(518) 618-6400 
Lawrenceburg,http://www.zillow.com/homedetails/21394-Foxridge-Circle-Lawrenceburg-IN-47025/97910093_zpid/,"$283,385","$249,900",47025,4 beds,,IN,21394 Foxridge Circle,4 baths,"2,517 sqft",(301) 528-9333 
Dallas,http://www.zillow.com/homedetails/25-Walnut-Ln-Dallas-PA-18612/2146313262_zpid/,"$421,941","$379,000",18612,3 beds,,PA,25 Walnut Ln,3 baths,"2,400 sqft",(570) 709-7202 
Winona,http://www.zillow.com/homedetails/467-E-3rd-St-Winona-MN-55987/102950681_zpid/,"$101,555","$140,000",55987,2 beds,,MN,467 E 3rd St,1.5 baths,"1,300 sqft",(507) 452-5737 
California,http://www.zillow.com/homedetails/60026-Badger-Lane-California-MO-65018/2100695290_zpid/,,"$91,000",65018,3 beds,,MO,60026 Badger Lane,1 bath,"1,315 sqft",(573) 304-2100 
Washington,http://www.zillow.com/homedetails/24-E-3rd-St-Washington-MO-63090/2133045078_zpid/,"$85,722","$127,500",63090,4 beds,,MO,24 E 3rd St,2 baths,-- sqft,(636) 221-2568 
