city,propertyUrl,zestimate,price,zipcode,beds,priceHistory,state,street,baths,sqfts,ownerPhone
Crookston,http://www.zillow.com/homedetails/422-Grant-St-Crookston-MN-56716/106805658_zpid/,"$121,786 ","$139,000 ",56716,3 beds,,MN,422 Grant St,2.5 baths,"2,000 sqft",(218) 289-5054 
Minneapolis,http://www.zillow.com/homedetails/1920-S-1st-St-APT-402-Minneapolis-MN-55454/1927736_zpid/,"$183,426 ","$185,000 ",55454,2 beds,,MN,1920 S 1st St APT 402,2 baths,"1,110 sqft",(612) 440-5604 
Corcoran,http://www.zillow.com/homedetails/6439-Hunter-Lane-Corcoran-MN-55340/2100945835_zpid/,"$452,421 ","$427,000 ",55340,4 beds,,MN,6439 Hunter Lane,2.75 baths,"3,000 sqft",(612) 232-4102 
Minneapolis,http://www.zillow.com/homedetails/510-Groveland-Ave-Minneapolis-MN-55403/2130602893_zpid/,,"$365,000 ",55403,1 bed,,MN,510 Groveland Ave,1 bath,810 sqft,(239) 877-3985 
Afton,http://www.zillow.com/homedetails/15145-50th-St-S-Afton-MN-55001/2277101_zpid/,"$507,651 ","$609,000 ",55001,3 beds,,MN,15145 50th St S,4.75 baths,"3,476 sqft",(612) 889-5031 
Onamia,http://www.zillow.com/homedetails/8594-Walden-Way-119-Onamia-MN-56359/2100987103_zpid/,"$124,905 ","$244,500 ",56359,3 beds,,MN,8594 Walden Way # 119,3 baths,"1,830 sqft",(612) 868-2494 
Portland,http://www.zillow.com/homedetails/3435-SW-11th-Ave-Portland-OR-97239/53936006_zpid/,"$498,607 ","$447,000 ",97239,4 beds,,OR,3435 SW 11th Ave,2 baths,"1,906 sqft",(503) 502-6452 
Annandale,http://www.zillow.com/homedetails/7270-Isaak-Ave-NW-Annandale-MN-55302/113355255_zpid/,,"$649,000 ",55302,,,MN,7270 Isaak Ave NW,,,(612) 206-1103 
Alsea,http://www.zillow.com/homedetails/18522-Prairie-View-Dr-Alsea-OR-97324/84727246_zpid/,,"$1,188,000 ",97324,2 beds,,OR,18522 Prairie View Dr,2 baths,"2,100 sqft",(541) 231-2979 
Lake City,http://www.zillow.com/homedetails/1031-W-Center-St-Lake-City-MN-55041/98951692_zpid/,"$159,416 ","$229,900 ",55041,3 beds,,MN,1031 W Center St,2 baths,"1,785 sqft",(605) 553-5090 
Ashland,http://www.zillow.com/homedetails/321-Clay-St-SPC-78-Ashland-OR-97520/2100776675_zpid/,"$184,732 ","$89,900 ",97520,2 beds,,OR,321 Clay St SPC 78,1 bath,960 sqft,(541) 708-0056 
Portland,http://www.zillow.com/homedetails/8110-SW-Spruce-St-Portland-OR-97223/48590724_zpid/,"$265,087 ","$450,000 ",97223,3 beds,,OR,8110 SW Spruce St,2 baths,"1,990 sqft",(503) 806-7586 
Saint Paul,http://www.zillow.com/homedetails/187-Sherman-St-Saint-Paul-MN-55102/2116405347_zpid/,,"$649,900 ",55102,3 beds,,MN,187 Sherman St,3 baths,"2,642 sqft",(561) 212-6676 
Springfield,http://www.zillow.com/homedetails/631-Mallard-Ave-Springfield-OR-97477/48382572_zpid/,"$182,220 ","$205,000 ",97477,3 beds,,OR,631 Mallard Ave,2 baths,"1,315 sqft",(541) 337-0373 
Stayton,http://www.zillow.com/homedetails/819-N-Birch-Ave-Stayton-OR-97383/80471999_zpid/,"$207,951 ","$259,900 ",97383,4 beds,,OR,819 N Birch Ave,3 baths,"1,937 sqft",(503) 409-4718 
Bend,http://www.zillow.com/homedetails/3048-NW-Craftsman-Dr-Bend-OR-97703/60572801_zpid/,"$566,014 ","$595,000 ",97703,5 beds,,OR,3048 NW Craftsman Dr,3 baths,"3,000 sqft",(541) 410-0579 
Portland,http://www.zillow.com/homedetails/2625-NE-26th-Ave-Portland-OR-97212/53896264_zpid/,"$775,777 ","$715,000 ",97212,4 beds,,OR,2625 NE 26th Ave,2 baths,"2,136 sqft",(503) 442-6446 
Cosmopolis,http://www.zillow.com/homedetails/832-Fourth-Street-Cosmopolis-WA-98537/2111167927_zpid/,"$159,212 ","$172,900 ",98537,4 beds,,WA,832 Fourth Street,2 baths,"1,700 sqft",
Beavercreek,http://www.zillow.com/homedetails/26164-S-Gard-Rd-Beavercreek-OR-97004/48287956_zpid/,,"$799,000 ",97004,4 beds,,OR,26164 S Gard Rd,2 baths,"4,505 sqft",(503) 759-3374 
Portland,http://www.zillow.com/homedetails/110-NE-39th-Ave-Portland-OR-97232/53900521_zpid/,"$763,463 ","$925,000 ",97232,4 beds,,OR,110 NE 39th Ave,4 baths,"4,100 sqft",
Pomeroy,http://www.zillow.com/homedetails/60-Heaton-Gulch-Rd-Pomeroy-WA-99347/2102725970_zpid/,,"$239,500 ",99347,3 beds,,WA,60 Heaton Gulch Rd,2 baths,"1,500 sqft",
Port Orchard,http://www.zillow.com/homedetails/10449-Bethel-Burley-Rd-SE-Port-Orchard-WA-98367/23413447_zpid/,"$334,736 ","$429,000 ",98367,3 beds,,WA,10449 Bethel Burley Rd SE,2.5 baths,"3,000 sqft",(360) 876-9375 
Bothell,http://www.zillow.com/homedetails/22004-3rd-Ave-SE-Bothell-WA-98021/2120856317_zpid/,,"$275,000 ",98021,,,WA,22004 3rd Ave SE,,,(206) 794-3433 
Clarkston,http://www.zillow.com/homedetails/920-Riverview-Blvd-Clarkston-WA-99403/108170396_zpid/,"$213,428 ","$193,900 ",99403,3 beds,,WA,920 Riverview Blvd,2 baths,"2,242 sqft",(208) 553-0353 
Selah,http://www.zillow.com/homedetails/401-Adobe-Way-Selah-WA-98942/23695226_zpid/,"$206,862 ","$235,000 ",98942,2 beds,,WA,401 Adobe Way,2 baths,"1,700 sqft",(509) 945-1362 
Renton,http://www.zillow.com/homedetails/1300-Eagle-Ridge-Drive-S-Renton-WA-98055/2101629412_zpid/,,"$95,000 ",98055,1 bed,,WA,1300 Eagle Ridge Drive S,1.5 baths,600 sqft,(707) 666-0496 
Kennewick,http://www.zillow.com/homedetails/706-W-45th-Ave-Kennewick-WA-99337/2101615329_zpid/,"$315,108 ","$425,000 ",99337,5 beds,,WA,706 W 45th Ave,2.5 baths,"2,801 sqft",(509) 438-6571 
Hoquiam,http://www.zillow.com/homedetails/1919-Riverside-Ave-Hoquiam-WA-98550/55053776_zpid/,"$140,431 ","$134,900 ",98550,5 beds,,WA,1919 Riverside Ave,2 baths,"2,656 sqft",(360) 581-3055 
Tahuya,http://www.zillow.com/homedetails/15781-NE-North-Shore-Rd-Tahuya-WA-98588/2132256480_zpid/,,"$1,975,000 ",98588,13 beds,,WA,15781 NE North Shore Rd,9 baths,"8,000 sqft",(206) 409-6280 
Spokane Valley,http://www.zillow.com/homedetails/11920-E-Mansfield-Ave-TRLR-56-Spokane-Valley-WA-99206/23570014_zpid/,"$65,547 ","$10,000 ",99206,2 beds,,WA,11920 E Mansfield Ave TRLR 56,1 bath,750 sqft,(509) 964-6621 
Ritzville,http://www.zillow.com/homedetails/2128-E-Wellsandt-Rd-Ritzville-WA-99169/85930795_zpid/,"$202,370 ","$325,000 ",99169,4 beds,,WA,2128 E Wellsandt Rd,2.5 baths,"2,250 sqft",(509) 347-6011 
Marysville,http://www.zillow.com/homedetails/5315-93rd-Pl-NE-Marysville-WA-98270/38490004_zpid/,"$300,114 ","$299,950 ",98270,4 beds,,WA,5315 93rd Pl NE,1.75 baths,"1,846 sqft",(425) 327-9320 
Tonasket,http://www.zillow.com/homedetails/107-Cayuse-Mtn-Rd-Tonasket-WA-98855/2100916394_zpid/,"$105,819 ","$74,900 ",98855,2 beds,,WA,107 Cayuse Mtn Rd.,#NAME?,512 sqft,(425) 213-4030 
Selah,http://www.zillow.com/homedetails/80-Duim-Ln-Selah-WA-98942/23695818_zpid/,"$186,143 ","$237,500 ",98942,3 beds,,WA,80 Duim Ln,2 baths,"1,440 sqft",(509) 949-9972 
Auburn,http://www.zillow.com/homedetails/2701-Fir-St-SE-Auburn-WA-98092/48763557_zpid/,"$194,015 ","$170,000 ",98092,3 beds,,WA,2701 Fir St SE,1.5 baths,"1,560 sqft",(206) 267-2400 
Rockford,http://www.zillow.com/homedetails/409-S-1ST-St-Rockford-WA-99030/23589748_zpid/,"$151,209 ","$124,895 ",99030,4 beds,,WA,409 S 1ST St,2 baths,"2,700 sqft",(509) 370-1896 
Tacoma,http://www.zillow.com/homedetails/537-Lake-Louise-Dr-SW-Tacoma-WA-98498/49262623_zpid/,"$286,971 ","$399,950 ",98498,3 beds,,WA,537 Lake Louise Dr SW,2 baths,"1,200 sqft",(253) 380-2958 
Visalia,http://www.zillow.com/homedetails/1225-S-Conyer-St-Visalia-CA-93277/16240198_zpid/,"$190,072 ","$169,900 ",93277,3 beds,,CA,1225 S Conyer St,2 baths,"2,000 sqft",(559) 740-8314 
San Jacinto,http://www.zillow.com/homedetails/2230-Lake-Park-Dr-SPC-127-San-Jacinto-CA-92583/17750654_zpid/,"$124,898 ","$34,900 ",92583,2 beds,,CA,2230 Lake Park Dr SPC 127,2 baths,"1,440 sqft",(951) 446-6291 
Vancouver,http://www.zillow.com/homedetails/1839-NE-152nd-St-Vancouver-WA-98686/23294272_zpid/,"$208,962 ","$254,500 ",98686,3 beds,,WA,1839 NE 152nd St,2 baths,"1,542 sqft",
San Juan Capistrano,http://www.zillow.com/homedetails/27703-Ortega-Hwy-89-San-Juan-Capistrano-CA-92675/2100889166_zpid/,"$617,526 ","$185,000 ",92675,2 beds,,CA,27703 Ortega Hwy #89,2 baths,"1,536 sqft",(949) 699-0890 
Big Bear City,http://www.zillow.com/homedetails/1080-Dumas-Ln-Big-Bear-City-CA-92314/17391473_zpid/,"$115,841 ","$147,500 ",92314,2 beds,,CA,1080 Dumas Ln,1 bath,610 sqft,(760) 777-2119 
Everett,http://www.zillow.com/homedetails/1622-Palm-Ave-Everett-WA-98203/63431090_zpid/,"$181,982 ","$229,000 ",98203,2 beds,,WA,1622 Palm Ave,2 baths,680 sqft,(425) 319-7347 
Valleyford,http://www.zillow.com/homedetails/10910-S-Sands-Rd-Valleyford-WA-99036/65787008_zpid/,"$540,237 ","$499,000 ",99036,5 beds,,WA,10910 S Sands Rd,3 baths,"4,000 sqft",(509) 251-3563 
Sun City,http://www.zillow.com/homedetails/27595-Boston-Dr-Sun-City-CA-92586/17918084_zpid/,"$202,428 ","$219,900 ",92586,2 beds,,CA,27595 Boston Dr,2 baths,"1,328 sqft",
Carlsbad,http://www.zillow.com/homedetails/6550-Ponto-Dr-Carlsbad-CA-92011/2103928689_zpid/,"$355,043 ","$299,900 ",92011,3 beds,,CA,6550 Ponto Dr,2 baths,"1,460 sqft",(530) 240-5889 
Stockton,http://www.zillow.com/homedetails/2917-Wallace-Ave-Stockton-CA-95204/15307679_zpid/,"$226,570 ","$248,995 ",95204,4 beds,,CA,2917 Wallace Ave,2 baths,"1,650 sqft",
Chula Vista,http://www.zillow.com/homedetails/172-Whitney-St-Chula-Vista-CA-91910/17105574_zpid/,"$346,878 ","$405,000 ",91910,2 beds,,CA,172 Whitney St,1 bath,"1,035 sqft",
Oceanside,http://www.zillow.com/homedetails/340-Isthmus-Way-UNIT-51-Oceanside-CA-92054/52504193_zpid/,"$259,601 ","$295,000 ",92054,2 beds,,CA,340 Isthmus Way UNIT 51,2 baths,942 sqft,(951) 689-1234 
Desert Hot Springs,http://www.zillow.com/homedetails/69371-Crestview-Dr-Desert-Hot-Springs-CA-92241/18110606_zpid/,"$51,751 ","$74,000 ",92241,2 beds,,CA,69371 Crestview Dr,1.5 baths,846 sqft,(760) 671-4850 
Newport Beach,http://www.zillow.com/homedetails/3013-Corte-Portofino-Newport-Beach-CA-92660/25479785_zpid/,"$1,267,790 ","$1,350,000 ",92660,3 beds,,CA,3013 Corte Portofino,3 baths,"2,227 sqft",(714) 749-8882 
Bakersfield,http://www.zillow.com/homedetails/2025-Jewetta-Ave-Bakersfield-CA-93312/19044988_zpid/,"$400,213 ","$454,900 ",93312,4 beds,,CA,2025 Jewetta Ave,2 baths,"2,591 sqft",(559) 909-3992 
Bakersfield,http://www.zillow.com/homedetails/3207-Granlee-Ct-Bakersfield-CA-93312/19029486_zpid/,"$217,798 ","$250,000 ",93312,3 beds,,CA,3207 Granlee Ct,2 baths,"1,572 sqft",(661) 332-2075 
Modesto,http://www.zillow.com/homedetails/111-Elmwood-Ave-Modesto-CA-95354/16068800_zpid/,"$261,983 ","$295,000 ",95354,3 beds,,CA,111 Elmwood Ave,1 bath,"1,274 sqft",
Paso Robles,http://www.zillow.com/homedetails/342-Partridge-Ave-Paso-Robles-CA-93446/2105088168_zpid/,"$221,194 ","$249,000 ",93446,2 beds,,CA,342 Partridge Ave,2 baths,"1,248 sqft",(805) 852-1291 
South Abington Township,http://www.zillow.com/homedetails/835-Shady-Lane-Rd-R-South-Abington-Township-PA-18411/2140497752_zpid/,"$244,455 ","$294,900 ",18411,3 beds,,PA,835 Shady Lane Rd # R,2 baths,"2,478 sqft",(570) 466-1433 
Sanger,http://www.zillow.com/homedetails/339-N-Frankwood-Ave-18-Sanger-CA-93657/2100746078_zpid/,"$148,594 ","$39,000 ",93657,2 beds,,CA,339 N. Frankwood Ave. #18,2 baths,"1,344 sqft",(559) 291-9634 
Sacramento,http://www.zillow.com/homedetails/4224-Atrium-Way-Sacramento-CA-95834/2100618380_zpid/,"$249,759 ","$75,000 ",95834,2 beds,,CA,4224 Atrium Way,2 baths,"1,000 sqft",(916) 628-9787 
Cleona,http://www.zillow.com/homedetails/207-W-Walnut-Street-Cleona-PA-17042/2102855167_zpid/,"$154,289 ","$174,900 ",17042,3 beds,,PA,207 W. Walnut Street,2 baths,"2,000 sqft",(717) 679-0782 
Yorba Linda,http://www.zillow.com/homedetails/3629-Lake-Glen-Dr-Yorba-Linda-CA-92886/2122262275_zpid/,"$592,191 ","$239,000 ",92886,3 beds,,CA,3629 Lake Glen Dr,2 baths,"1,989 sqft",(714) 524-3033 
Philadelphia,http://www.zillow.com/homedetails/1117-Rodman-St-Philadelphia-PA-19147/2102582213_zpid/,"$466,955 ","$489,000 ",19147,3 beds,,PA,1117 Rodman St,2 baths,"1,350 sqft",(201) 344-3440 
Yardley,http://www.zillow.com/homedetails/100-Tudor-Ln-Yardley-PA-19067/9019516_zpid/,"$541,401 ","$580,000 ",19067,4 beds,,PA,100 Tudor Ln,3 baths,"2,883 sqft",(215) 431-6225 
Ridley Park,http://www.zillow.com/homedetails/402-Bonsall-Rd-Ridley-Park-PA-19078/9429804_zpid/,"$167,861 ","$239,900 ",19078,3 beds,,PA,402 Bonsall Rd,2.5 baths,"1,460 sqft",(610) 909-1198 
Costa Mesa,http://www.zillow.com/homedetails/327-W-Wilson-St-SPC-67-Costa-Mesa-CA-92627/25652027_zpid/,"$682,223 ","$50,000 ",92627,2 beds,,CA,327 W Wilson St SPC 67,2 baths,770 sqft,(949) 205-9184 
Indian Lake,http://www.zillow.com/homedetails/1335-Peninsula-Drive-Indian-Lake-PA-15926/2102490250_zpid/,"$309,083 ","$549,000 ",15926,3 beds,,PA,1335 Peninsula Drive,2.5 baths,"1,600 sqft",
New Tripoli,http://www.zillow.com/homedetails/8044-George-Rd-New-Tripoli-PA-18066/9669961_zpid/,"$406,381 ","$409,000 ",18066,3 beds,,PA,8044 George Rd,3.5 baths,"2,750 sqft",(610) 509-7184 
Philadelphia,http://www.zillow.com/homedetails/1653-S-55th-St-Philadelphia-PA-19143/10484262_zpid/,"$46,704 ","$40,000 ",19143,3 beds,,PA,1653 S 55th St,1 bath,"1,098 sqft",(215) 576-0724 
State College,http://www.zillow.com/homedetails/346-Douglas-Dr-State-College-PA-16803/75207383_zpid/,"$240,569 ","$263,000 ",16803,4 beds,,PA,346 Douglas Dr,2 baths,"2,050 sqft",
Jamestown,http://www.zillow.com/homedetails/7740-Lake-Blvd-Jamestown-PA-16134/93613192_zpid/,"$138,860 ","$165,500 ",16134,3 beds,,PA,7740 Lake Blvd,2 baths,"1,560 sqft",(724) 927-9532 
Philadelphia,http://www.zillow.com/homedetails/220-Locust-St-APT-25D-Philadelphia-PA-19106/2101907918_zpid/,"$309,815 ","$354,900 ",19106,1 bed,,PA,220 Locust St APT 25D,1 bath,803 sqft,(856) 296-5751 
Conshohocken,http://www.zillow.com/homedetails/419-E-12th-Ave-Conshohocken-PA-19428/9853492_zpid/,"$276,425 ","$292,500 ",19428,3 beds,,PA,419 E 12th Ave,2 baths,"1,152 sqft",(484) 416-0419 
Columbia,http://www.zillow.com/homedetails/1015-Chestnut-St-Columbia-PA-17512/9690137_zpid/,"$191,246 ","$195,500 ",17512,3 beds,,PA,1015 Chestnut St,2 baths,"2,517 sqft",(717) 684-3316 
Elizabethtown,http://www.zillow.com/homedetails/454-W-Ridge-Rd-Elizabethtown-PA-17022/9697181_zpid/,"$292,761 ","$315,000 ",17022,4 beds,,PA,454 W Ridge Rd,4 baths,"2,866 sqft",(717) 629-6869 
Philadelphia,http://www.zillow.com/homedetails/220-Locust-St-APT-3C-Philadelphia-PA-19106/2101907981_zpid/,"$268,345 ","$264,900 ",19106,1 bed,,PA,220 Locust St APT 3C,1 bath,683 sqft,(856) 296-5751 
Philadelphia,http://www.zillow.com/homedetails/6041-Osage-Ave-Philadelphia-PA-19143/2141415317_zpid/,"$89,037 ","$35,000 ",19143,4 beds,,PA,6041 Osage Ave,1 bath,"1,050 sqft",(215) 576-0724 
Steelton,http://www.zillow.com/homedetails/223-Pine-St-Steelton-PA-17113/86465072_zpid/,"$109,011 ","$129,900 ",17113,7 beds,,PA,223 Pine St,3 baths,"3,307 sqft",(717) 623-7045 
West Pittston,http://www.zillow.com/homedetails/410-6th-St-ONE-West-Pittston-PA-18643/2101899756_zpid/,"$59,445 ","$119,000 ",18643,3 beds,,PA,410 6th St # ONE,1 bath,"1,248 sqft",(212) 714-1027 
Saint Louis,http://www.zillow.com/homedetails/4069-Holly-Hills-Blvd-Saint-Louis-MO-63116/3027502_zpid/,"$223,862 ","$265,500 ",63116,3 beds,,MO,4069 Holly Hills Blvd,1.5 baths,"1,808 sqft",
Kansas City,http://www.zillow.com/homedetails/2-W-52nd-St-Kansas-City-MO-64112/2351327_zpid/,"$394,379 ","$529,000 ",64112,5 beds,,MO,2 W 52nd St,2 baths,"3,300 sqft",(816) 531-2221 
Saint Louis,http://www.zillow.com/homedetails/7721-Michigan-Ave-Saint-Louis-MO-63111/2958008_zpid/,"$105,551 ","$99,000 ",63111,3 beds,,MO,7721 Michigan Ave,2 baths,"1,658 sqft",
Saint Louis,http://www.zillow.com/homedetails/7235-N-Bristol-Dr-Saint-Louis-MO-63121/2692370_zpid/,"$161,911 ","$219,500 ",63121,4 beds,,MO,7235 N Bristol Dr,2 baths,"2,314 sqft",(314) 337-2152 
Branson,http://www.zillow.com/homedetails/206-Devonshire-Dr-Branson-MO-65616/106916434_zpid/,"$225,874 ","$229,000 ",65616,4 beds,,MO,206 Devonshire Dr,3 baths,"2,945 sqft",(972) 984-0405 
Saint Louis,http://www.zillow.com/homedetails/8804-Ramona-Ave-Saint-Louis-MO-63121/2695117_zpid/,"$57,850 ","$59,900 ",63121,2 beds,,MO,8804 Ramona Ave,1 bath,966 sqft,(314) 680-8933 
Clever,http://www.zillow.com/homedetails/401-E-Grant-St-Clever-MO-65631/2139980176_zpid/,"$90,363 ","$129,500 ",65631,3 beds,,MO,401 E Grant St,2 baths,"1,600 sqft",
La Mesa,http://www.zillow.com/homedetails/5828-Clay-Ave-La-Mesa-CA-91942/17028961_zpid/,"$505,403 ","$539,000 ",91942,4 beds,,CA,5828 Clay Ave,2 baths,"2,100 sqft",
Maple Park,http://www.zillow.com/homedetails/203-Summer-St-Maple-Park-IL-60151/4647868_zpid/,"$155,147 ","$353,900 ",60151,4 beds,,IL,203 Summer St,2 baths,"1,600 sqft",(630) 362-3733 
Pleasant Hope,http://www.zillow.com/homedetails/5475-Ridgeview-Rd-Pleasant-Hope-MO-65725/2128660052_zpid/,"$120,172 ","$109,900 ",65725,3 beds,,MO,5475 Ridgeview Rd,2.5 baths,"1,511 sqft",(417) 872-6617 
Harvey,http://www.zillow.com/homedetails/15321-Winchester-Ave-Harvey-IL-60426/4264618_zpid/,"$63,336 ","$80,000 ",60426,3 beds,,IL,15321 Winchester Ave,2 baths,"1,403 sqft",(801) 735-1688 
Whittier,http://www.zillow.com/homedetails/11724-Colima-Rd-Whittier-CA-90604/21378504_zpid/,"$718,518 ","$725,000 ",90604,2 beds,,CA,11724 Colima Rd,3 baths,"2,354 sqft",(714) 745-9600 
Buttonwillow,http://www.zillow.com/homedetails/259-W-3rd-St-Buttonwillow-CA-93206/18917603_zpid/,"$83,404 ","$23,000 ",93206,2 beds,,CA,259 W 3rd St,1 bath,560 sqft,(281) 501-0131 
